,title,rating,body,date,country
27,Looks the same as pictured,"5,0",Cute and my granddaughter loves it.,3 maart 2023,de Verenigde Staten
28,Great little add on,"5,0",Bought this for my wife to add to her gaming setup and wow this is a nifty little device. The speakers on it were pretty impressive to me coming from such a small thing. The pixel art is cute and she ,2 maart 2023,de Verenigde Staten
29,This product exceeded my expectations,"5,0",,1 maart 2023,de Verenigde Staten
30,Inconveniente,"3,0",La batería tiene poca duración,1 maart 2023,Spanje
31,Good speaker,"5,0",Surprisingly a very good speaker and really good sound,28 februari 2023,het Verenigd Koninkrijk
32,Doesn't come with side panel,"1,0",This product no longer comes with the micro USB side panel that is advertised in all models and in all reviews on YouTube when searching this product. Purchased for that reason and it no longer comes ,27 februari 2023,de Verenigde Staten
33,Not what I expected for the price,"2,0","I saw this in a TikTok and it looked interesting. I bought it as a present for someone and really this thing is not that entertaining, is kind of cool at the beginning but other that, it’s just a piec",26 februari 2023,de Verenigde Staten
34,Almost perfect,"5,0",Insanely cute. The buttons on the front that switch songs and control the volume are more useful than I thought they would be. Perfect for a home office and the sound quality isn't bad. The only flaw ,25 februari 2023,de Verenigde Staten
35,Sehr cooles Gadget! 🤩,"5,0","Das Produkt hört sich sehr super an. Es ist sehr klein und süß. Man braucht zwar die App, aber die ist eigentlich ziemlich einfach zu bedienen. Die Tastatur ist laut, hat aber einen guten Sound.Ich li",25 februari 2023,Duitsland
36,MERAVIGLIOSO!,"5,0",,23 februari 2023,Italië
37,Fantastica,"5,0","Questa cassa è fantastica, l'ho comprata per regalarla e l'ho scelta principalmente per estetica, ma una volta messa in funzione sono rimasta stupida dalla potenza dell'audio e delle tante funzioni ch",22 februari 2023,Italië
38,Loving it !,"5,0",Cute Color and fast delivery. Sound quality is good and I’m loving this product.,22 februari 2023,Singapore
39,Top class,"5,0",Top class,20 februari 2023,het Verenigd Koninkrijk
40,"Stopped working after 3 months, not worth it","1,0","My speaker just suddenly stopped working, and I've checked the charger to make sure it's the required one. The green bar just keeps being there, and the speaker doesn't turn on.Would return if I could",18 februari 2023,de Verenigde Staten
41,Good speaker!,"5,0","Cute for if you want to practice pixel art. And if you are home alone and want to jam in the house it has you covered!Named mine crystal, based off the ai assistant character for my dnd",18 februari 2023,de Verenigde Staten
42,Prodotto pazzesco,"5,0","Ricevuto da mezz'ora e già è il miglior acquisto del 2023.Ottimo audio, look pazzesco e giocattolo da adulti meraviglioso.",18 februari 2023,Italië
43,Excelente calidad del producto en general.,"5,0","Excelente calidad del producto, buena calidad del sonido y la interacción con Ipad es muy efectiva, en general muy aceptable entretenimiento.",17 februari 2023,Mexico
44,Great sound quality,"5,0","Unique little office buddy; haven't learned to use it all the way, but looks very fun and cheerful. Sound quality is excellent for such a small device.",17 februari 2023,het Verenigd Koninkrijk
45,Boom,"5,0",Okay for the size it sounds pretty good. Pixel stuff gets a bit gimmicky but it’s not bad as a speaker 🔈,17 februari 2023,het Verenigd Koninkrijk
46,It's pretty and gives vintage vibes.,"4,0",Gifted this to my husband on valentines day and he was thrilled 💖,13 februari 2023,de Verenigde Staten
47,great product,"5,0",really cool piece of kit and looks great,13 februari 2023,het Verenigd Koninkrijk
48,Divoom cassa bluetooth,"5,0",Cassa fantastica. X un regalo a qualcuno sui 50 sarà accettato con entusiasmo. Va bene anche per i ragazzi. Non è il top in gamma musicale ma considerando le dimensioni fa bene il suo lavoro.Sarà anch,13 februari 2023,Italië
49,Fajny gadżet.,"5,0",Daje dziecku i dorosłemu popuszczenie wodzy fantazji i zrobienie wlasnych assetów.,13 februari 2023,Polen
50,so much fun!,"5,0","got this for my 13 year old and she loves it. the app lets you make art, set alarms, play music, etc.",9 februari 2023,de Verenigde Staten
51,amazing!,"5,0","the sound quality is very good, and i love that you can customize the screen with the application! i keep mine charged all the time so i can’t really comment about the battery.. except that one time i",8 februari 2023,Canada
52,Awesome sound!,"5,0",Makes my desk a great spot to listen to music and want to be next to.,8 februari 2023,de Verenigde Staten
53,Bass,"5,0",This little thing is packed with bass and sounds really good. Worth the investment.,5 februari 2023,de Verenigde Staten
54,Nicht das abgebildete Modell,"2,0","Das Gerät macht einen guten ersten Eindruck, ABER: Es ist das aktuelle Modell abgebildet, es wurde jedoch die alte Version (u.a. ohne Akkuanzeige) verschickt.",4 februari 2023,Duitsland
55,"totally recommend it, amazing gift","5,0",,2 februari 2023,Duitsland
56,Kaufempfehlung,"5,0",Also es war ein Geschenk für meine cousine. Es entspricht genau der Beschreibung und der Abbildung. Ebenso überzeugen die Funktionen. Sie empfiehlt es weiter daumen hoch.,1 februari 2023,Duitsland
57,Utilità,"3,0","Prodotto acquistato per regalo ad un bambino, qualità audio ottima, personalmente non vedo utilità. Rimane un prodotto molto valido di qualità",1 februari 2023,Italië
58,Qualität ist Top,"5,0","Qualitativ ist das gerät echt super, Akkulaufzeit ist in Ordnung, Ton Qualität ist sehr gut, hätte nicht erwartet das da vom Klang her so ein guter Bass rauskommt. Design ist fantastisch, eine gute Ko",31 januari 2023,Duitsland
59,"Davvero forte, c'è un' unica pecca","4,0","Il prodotto è di fattura eccellente, qualita audio e video notevole per la sua dimensione, niente da dire sul prodotto in se insomma.L'unica pecca è che se si hanno diversi dispositivi Divoom non è po",31 januari 2023,Italië
60,Tolles Produkt,"5,0",Ich mag es der Akku aber hält nicht lange weswegen das Gerät die ganze Zeit an der Steckdose hängt. Sonst finde ich es sehr gut,29 januari 2023,Duitsland
61,I love it!!,"5,0",,28 januari 2023,de Verenigde Staten
62,Loved it!,"5,0",I usually don't write a lot of reviews! But this is something worth reviewing. It is sooooooooooo cute and I loved it so much. This is something that any age group person will like. Thanks Divoom 🥰,28 januari 2023,Australië
63,One Con Otherwise Great Product,"4,0",This product is really good. I love all the features and the speaker is really good. The display and base is great.One con is that about three hours into using it after playing a few games it would ma,27 januari 2023,de Verenigde Staten
64,Lovely speaker,"5,0","For the future buyers, if you expecting an perfect sound quality, dont. But it has a decent speakers and looks good on your desk. More designed to be a good looking device :)",27 januari 2023,het Verenigd Koninkrijk
65,Gift,"5,0",Awesome gift for teens and tweens,25 januari 2023,de Verenigde Staten
66,Best gadget I've bought for my setup,"5,0","I am renovating my setup and the Divoom Ditoo was one of my main options for gadgets... best decision. It has this very retro vibe, sounds pretty decent (I mean, it is not the best speaker out there),",24 januari 2023,de Verenigde Staten
67,CUTE & FUN. BUT BE AWARE!,"3,0",CUTE & FUN LITTLE PRESENT. BUT BE AWARE IN THE APP OF THE DJ MIXER. IT HAS A WEIRD SEX SOUND NOT FUN FOR KIDS. THAT SOUND SPOILED ALL OF THE FUN.,23 januari 2023,de Verenigde Staten
68,Did not receive instructions or charging cable,"1,0",Did not receive instructions or charging cable,22 januari 2023,de Verenigde Staten
69,Ludique et bon son,"5,0",C’est rigolo. On peut télécharger des images pixelisées sur le site.,22 januari 2023,Frankrijk
70,Product is amazing😊🥰,"5,0",,20 januari 2023,de Verenigde Staten
71,CONSTANT RINGING and missing leg but super cute,"2,0",This thing is absolutely adorable!!! However I don’t have tinnitus and this thing makes me feel like I do… there is an incessant ringing that you hear no matter what you’re doing with it. I don’t know,19 januari 2023,de Verenigde Staten
72,Que encuentras muchos productos y novedades,"5,0",,19 januari 2023,Mexico
73,The cutest speaker out there,"5,0","this Divot speaker is probably the cutes and a the best multi-function speaker I've ever bought. Lover the sound quality, the speaker looks incredibly amazing and handy.",18 januari 2023,Australië
74,This is really great quality,"5,0",This was a gift. The recipient was very happy with the gift exclaiming that she'd seen it and wanted one. She said Tlthe sound quality is really great and it works as an alarm clock as well as pixal a,18 januari 2023,de Verenigde Staten
75,Sehr toll Lautsprecher!! Meine Tochter ist ganz zufrieden!!,"5,0",Die Qualität ist top!,17 januari 2023,Duitsland
76,Perfect,"5,0",Overall cute and really good speaker .. Would buy it again for gifts,17 januari 2023,Australië
77,Un simpatico altoparlante,"5,0","Preso per la possibilità di programmare immagini tramite pixel. La forma ed il packagin sono fantastici, mio figlio è contento e lo usa anche come orologio in camera",17 januari 2023,Italië
78,Perfect desktop companion!,"5,0",This little device is perfect for any desk setup. Being able to customize the display straight from the app is the best part. Sound quality is amazing! You won’t regret purchasing this!,15 januari 2023,de Verenigde Staten
79,"Super cute, but not great sound quality","5,0","I’m giving this 5 stars because I love it! Just be aware the sound quality isn’t that great. I listen to it quietly at my desk, so it works for me, but I wouldn’t say this is a good speaker. What I lo",15 januari 2023,Canada
80,Sorprendente producto,"5,0","No imagine que un dispositivo tan pequeño, fuera divertido y tuviese tanta fidelidad. Le gusto a mi hija y a mi tambien",14 januari 2023,Mexico
81,Great present for a gamer,"5,0","Purchased this for a family member who is also a gamer and very hard to buy for , he loved it..",14 januari 2023,het Verenigd Koninkrijk
82,Its a funky device and is great quality,"5,0","The sound is surprisingly good and it works really well as a companion to a laptop or tablet. You can also use it to play, stop and skip tracks which is pretty handy. Its a really great product.",11 januari 2023,het Verenigd Koninkrijk
83,"Great desk gadget and decoration, needs work on the alarm clock though.","5,0",,11 januari 2023,de Verenigde Staten
84,Calidad en todos los sentidos,"5,0","El audio es increible, la pantalla y su brillo son increibles, el plástico se siente super resistente y duradero, hay una cantidad increíble de imágenes en la app.Por ponerle algo malo, la interface e",10 januari 2023,Mexico
85,Super cute,"5,0",My daughter live this awesome and cute,10 januari 2023,Canada
86,Super adorable,"5,0",The best speaker ever!,8 januari 2023,de Verenigde Staten
87,Didn't realize this is basically a $100 mini Bluetooth speaker,"5,0",I thought it was an actual miniature computer game system but it's basically a speaker with an led screen.Not sure it's worth the money but my 7 year old loves it and has it since with her iPad and iP,8 januari 2023,de Verenigde Staten
88,A bizarre premium little...thing. I love it.,"5,0","This thing is so weird. It's definitely a novelty item. I just love it, though. You'll know it's different the second you get it. It comes in this nice gift bag, and inside that is about the most prem",8 januari 2023,de Verenigde Staten
89,Regalo piaciuto,"5,0",Molto carino lo abbiamo regalato a un amica. Oggetto simpatico e divertente,8 januari 2023,Italië
90,"Full price is a bit steep, but high quality, fun, and better than you expect.","4,0","I dithered over buying one of these for ages. I wanted a retro looking pixel display, just for fun, but the price was a real sticking point. Even at the 40% off I eventually bought it for, it was a re",7 januari 2023,het Verenigd Koninkrijk
91,Mühtiş,"5,0",Tek kelime ile Müthiş,6 januari 2023,Duitsland
92,Splendido❤️,"5,0",Bellisimo,5 januari 2023,Italië
93,App needed,"5,0",Absolutely love this bluetooth and the aesthetic is perfect for me. However it doesnt come with a charger or instructions. You'll have to download the app and kind of fiddle around with it. You'll nee,5 januari 2023,de Verenigde Staten
94,Cute and funny,"5,0",Nice design,5 januari 2023,de Verenigde Staten
95,buy it,"5,0","I only bought it as a speaker but you can play games, upload ur own pixel art, message friends if they have one, set a planner, have an alarm, set a sleep time. 10/10 would buy again",5 januari 2023,Canada
96,Génial !,"5,0",Offert à Noël à mon conjointNous sommes tout les deux des geek amateurs de jeux et nouvelles technologies.Je suis clairement ravie de cet achat.C'est effectivement un gadget mais un gadget de grande q,3 januari 2023,Frankrijk
97,Great little item for a fun desk/office,"5,0","Bought as a gift for my wife who'd seen these on many 'cozy office' videos/photos on Instagram and Tiktok.Sound quality is better than anticipated, and she loves the little animated pixel art things s",3 januari 2023,het Verenigd Koninkrijk
98,Best thing ever!!!,"5,0","Love this so much, best desk decor.",3 januari 2023,de Verenigde Staten
99,WTF Where is a USB Block,"5,0","I have a block and have no idea how to charge it, wonderful. There're no right and back. nice support, return please",2 januari 2023,de Verenigde Staten
100,Overpriced,"2,0","Whilst it is well built the functionality offered does not warrant the price tag (paid £70).It’s got about 30mins of entertainment in, the games are terrible, the 16x16 screen is hugely limiting but t",2 januari 2023,het Verenigd Koninkrijk
101,Nada recomendable. Lo he regalado y no ha gustado nada,"1,0",No se puede conectar a mas de un dispositivo...solo uno puede estar emparejado... Así que nada de usarlo con el móvil...y luego con el pc...toca emparejarlo cada vez...así que devuelto a Amazon y adió,1 januari 2023,Spanje
102,Awesome speaker! Great sound and having fun with all of the great features,"5,0","My daughter loves all of the features, games and extras and it has great sound quality for such an in expensive speaker! Was pleasantly surprised! Hours of fun",31 december 2022,Australië
103,Cadeau,"5,0",Arrivé rapidement et en parfait état.Cet appareil est un peu cher pour ce que c’est mais il fonctionne bien pour le moment et il a plut à ma fille.RAS.,30 december 2022,Frankrijk
104,Veramente ben fatto!,"5,0",E' un oggetto veramente ben fatto! A mio figlio è piaciuto molto e poi mi sembra veramente di un'ottima qualità. Se si considera le dimensioni non anche la qualità del suono non è affatto male.,30 december 2022,Italië
105,Cool,"5,0",This mini PC with Pixelated screen is cool for any office desk. It can bluetooth to your phones music or use the app to change the screen,29 december 2022,het Verenigd Koninkrijk
106,It is how i have imagined it to be!,"5,0",,29 december 2022,Singapore
107,Super cute but difficult to use,"3,0",The pink is super cute on my desk and I love watching the pixel art but why is this thing so convoluted to use? The app doesn’t make sense. I honestly barely use it because I have to go into the app e,29 december 2022,de Verenigde Staten
108,Great sound quality,"5,0","It’s so adorable! Easy to use the app, I’m actually surprised how great the sound quality is! On par with my expensive brand name one. Cute little speaker to brighten your day!",29 december 2022,Australië
109,runs out of battery pretty quickly,"2,0",thought it was a cute display but runs out of battery really quickly (maybe after about 1 hr) and also interferes with other devices' bluetooth connection,29 december 2022,de Verenigde Staten
110,MEGAAAAA :-))),"5,0","mega geniales Teil !! schön und Robust gebaut, hammer Design, Screen und LEDs sieht super aus, hat ein super Sound und die Tasten sind in Cherry Qualität ! Die App funktioniert gut .. ich werde mir ba",28 december 2022,Duitsland
111,Very cute and also doubles as a speaker!,"5,0",Very cute and also doubles as a speaker!,28 december 2022,Australië
112,Einfach toll,"5,0",,27 december 2022,Duitsland
113,"Bello, ma con qualche pecca!","3,0","Carina l'estetica da computer anni '80, l'audio non è dei migliori perché è un po' basso...Si gestisce anche con l'app companion ""Divoom"".Si possono fare text animati e disegni, che vengono una meravi",26 december 2022,Italië
114,Più di uno speaker,"5,0","È una vera chicca! Mia figlia lo adora! L’aspetto vintage e i pixel lo rendono molto accattivante. È uno speaker bluetooth con un volume veramente notevole. Ma è anche sveglia, videogioco arcade (tipo",26 december 2022,Italië
115,Top Gerät,"5,0",,25 december 2022,Duitsland
116,"Bastante bien, no esperes un bose o jbl pero esta bien.","4,0","Lo compre en rebaja, me salio en 70 dolares, creo que por al experiencia lo vale, es muy interesante las opciones que ofrece. Si quieres algo para distraerte y que no se te burlen por el sonido, esta ",23 december 2022,de Verenigde Staten
117,Llego antes de lo programado 🌸❤️,"5,0",,23 december 2022,Mexico
118,awesome,"5,0",,19 december 2022,Duitsland
119,So good,"5,0",Great product make sure to read the manual,17 december 2022,Australië
120,Amazing,"5,0",Love this product easy to use and lots of fun,17 december 2022,Australië
121,Divoom,"5,0",Parfait 👍🏻,17 december 2022,Frankrijk
122,Cute 😍 nice sound quality,"4,0","Cute gift, good battery life. Cute packaging. A bit overpriced for what it does. Giving it 4 stars because instructions are hard to follow, and doesn't explain all the features.",17 december 2022,de Verenigde Staten
123,I think it’s not the one I paid for,"1,0",I would like to return it. It doesn't look like the one I want to buy.,15 december 2022,de Verenigde Staten
124,"bello, simatico e utile","5,0",con le tante funzioni implementate è un oggetto che non cura semplicemente l'estetica della vostra scrivania ma unisce anche funzioni utili e divertenti,14 december 2022,Italië
125,super,"5,0",Ma fille est enchantée!!! 13ans et la magie est au redez vous. super cadeau!!!,11 december 2022,Frankrijk
126,Cute but little functionality,"3,0","I got this from a Black Friday deal to fit my Japan aesthetic in the room. First thing first, no charger in the box!!! And it’s not a normal charging port either I bought a USB-A and it still didn’t f",10 december 2022,de Verenigde Staten
127,App is broken and dosent work,"1,0","First off, there is absolutely no reason for a Bluetooth speaker to require an account and password to operate. That is rediculous. Also the app is broken. If you forget your password, it's impossible",8 december 2022,de Verenigde Staten
128,Ça me détend !,"5,0","Au début, je n'avais pas bien compris comment ça fonctionne. J’ai cherché des infos sur plusieurs sites mais ça n’a pas marché. En désespérant, j’ai complètement éteint mon portable et le redémarré. V",7 december 2022,Frankrijk
129,Nicht so wie erwartet,"3,0","Die Idee ist super, aber nur die Idee",4 december 2022,Duitsland
130,Lo mas cuki que he comprado,"5,0","El capricho mas cuki que he comprado, de gran calidad, en prime days a 60€ si lo compré, a precio normal, un poco caro para lo que es",3 december 2022,Spanje
131,Love this,"5,0",I used this as Bluetooth speaker and alarm clock. Love this so far.,2 december 2022,Australië
132,I’m deeply in love..,"5,0","I’m absolutely in love with it.. It’s a bit expensive but considering everything it does, it’s definitely worth it. The sound is amazing, the art , the alarm , etc.. and on top of that it’s so cute an",2 december 2022,de Verenigde Staten
133,Pricey and not user friendly,"1,0",The instructions manual isn’t too detailed. I couldn’t figure out how to set the right time. For the money that it cost I rather just get a simple JBL Bluetooth speaker.,30 november 2022,de Verenigde Staten
134,ELA,"5,0",OMG!!! I never leave reviews but this is so cute and fascinating. Keeps me entertained. So glad I bought this. Definitely suggest getting one to everyone.,30 november 2022,de Verenigde Staten
135,ATTENTION EVERYONE SAYING THERE IS NO CABLE: IT IS REALLY WELL HIDDEN IN YOUR BOX!!!,"5,0","I feel so bad for all the people who left reviews saying the cable was missing from their box. I almost thought the exact same thing. But that little mini fridge the Divoom comes in, you have to pull ",28 november 2022,de Verenigde Staten
136,I want one!,"5,0","I bought this for my niece (6) and now I want one! It's quite solid, and so so soooo cute! I charged it up to check that it works and now I want to keep it. I didn't play through everything, and I'm s",28 november 2022,Australië
137,Ne vale la pena!,"5,0","Lo adoro! Bellissimo come decorazione da scrivania, ha funzionalità quotidiane utili.Trovo la qualità audio ottima e veramente potente anche quando non al massimo del volume.Un prodotto che secondo me",28 november 2022,Italië
138,Hours of fun.,"5,0",Very cute with good sound quality. It is definitely worth it when it is on sale. Overall happy.,27 november 2022,de Verenigde Staten
139,wagwan its st styl its for my gf ahlie,"4,0",good fam,27 november 2022,Canada
140,Una cucada,"5,0",Se escucha muy bien y es muy bonito,25 november 2022,Spanje
141,AMAZING,"5,0",Just get it! The speakers are unbelievable for the little size. It’s fun and the quality is unexpectedly so good.,24 november 2022,de Verenigde Staten
142,The product is not as described,"2,0",I am confused. On first glance I didn’t realise the difference until I looked at it on Amazon again.On the bag it’s called DitooPro but when I looked at the pictures from reviews it’s meant to say Dit,23 november 2022,het Verenigd Koninkrijk
143,TrOOOOOOOOp Bien 🤩,"5,0","J’avais repéré ce réveil un peu atypique, j’ai attendu la promo pour me l’offrir, et franchement, j’adooooooore, je surkiff mon cadeau 🤩Son aspect rétro, ses nombres de fonctionnalités avec l’appli su",23 november 2022,Frankrijk
144,PARFAIT,"5,0","Je l'ai offert à mon copain, il était ravi du cadeau. Celui-ci fonctionne très bien, très intuitif et franchement c'est un très beau cadeau",21 november 2022,Frankrijk
145,My daughter loves it,"5,0",It’s cute and fun and the sound is great!,21 november 2022,het Verenigd Koninkrijk
146,Product stopped turning on after just 40 days of having it.,"1,0",,20 november 2022,de Verenigde Staten
147,Stunnig little beast,"5,0",One of the best products on my DESK.F....... AMAZING :) (Freaking),19 november 2022,het Verenigd Koninkrijk
148,Bellissima pixel art,"5,0","Mi piace usarla per natale, con le musichette sulla micro SD e gli sfondi natalizi!PS: Nel gaming c'è davvero un bel lag, quindi eviterei di usarlo per questo scopo.",19 november 2022,Italië
149,Sehr guter Klang,"5,0","ich Liebe das ding. Ich musste es einfach haben. Musik hat einen tollen Klang und ich liebe die Effekte. Was mich stört, ist dass der Akku echt nur paar Stunden hält, muss man halt an der Steckdose la",18 november 2022,Duitsland
150,Packs a punch sound wise,"4,0",I bought this when it was on offer because it was cute and fit my aesthetic. So I was pleasantly surprised when I realised how well it works as a speaker! There's a lot of sound in that little thing. ,17 november 2022,het Verenigd Koninkrijk
151,I only received the Divoom bag?,"1,0","Very disappointed. I only received the bag with the leftover wrapping inside. Not very happy, I might purchase again in the future but for now I am returning it.",16 november 2022,de Verenigde Staten
152,"I saw it on TikTok, bought it returned it after 2 days.","1,0","Super overpriced, the screen appears to dim itself out of no where. Even after having it plugged in. It keeps turning off by itself and won’t turn on even after holding the power button. Literally hav",16 november 2022,de Verenigde Staten
153,Good deal quick delivery,"5,0","I got this at $48 during the 11.11 sales and despite the higher volume, the product arrived on time. The product came in good protective packaging, and the item itself is a good buy. Decent sound qual",14 november 2022,Singapore
154,Build Quality,"5,0",9 out 0f 10 build quality. Very nice speakers too,14 november 2022,Australië
155,Super cute,"5,0",Cute but I need instructions!,13 november 2022,Australië
156,2 pour l'objet. 0 pour l'UI et l'appli,"2,0","Très bel objet. Vraiment c'est classe. Et le son surprenant. Les touches, c'est top.Mais alors quel application d'amateur. Visuellement, c'est tout simplement l'antithèse de ce qu'inspire l'objet. J'a",12 november 2022,Frankrijk
157,Clock setup hard to do,"5,0","Dislike set up clock function , not easy setting up",12 november 2022,de Verenigde Staten
158,Does NOT come with cord or instructions,"3,0","The item is adorable but very frustrating! It does NOT come with an adapter and the sizing for an adaptor is awkward. Finding an adaptor to charge completely took trial and error of 7 cords, to get a ",10 november 2022,de Verenigde Staten
159,Bad quality,"1,0",Received 2nd after getting replacement in February. 2nd one stopped working after 2-3 months. Bad quality. Do not buy.,10 november 2022,de Verenigde Staten
160,Macht echt Spaß,"5,0","Braucht man es unbedingt? Nein, aber es macht spaß und sieht süß aus. Ich empfehle es weiter!",7 november 2022,Duitsland
161,Exelent quality,"5,0",The product is great!! The only downside is that I was expecting to have tetris. Unfortunately it was removed from games...,7 november 2022,Duitsland
162,Very cute multifunctional speaker,"4,0","Great blutooth speaker- pleasantly surprised at the sound quality and the added function of notification alerts, alarm clocks and weather updates make it great on a bedside or by your desk. The batter",5 november 2022,het Verenigd Koninkrijk
163,It’s brilliant,"5,0",Sounds amazing,4 november 2022,het Verenigd Koninkrijk
164,sehr angenehm,"4,0","Alles ist gut, aber die Batterie ist nicht genug.",4 november 2022,Duitsland
165,Cute but not worth it,"3,0",Let me start by saying this is one of the cutest things I own! When I first got this I absolutely loved it! Although I did have problems finding the right app and using it. I’ve had it for a few month,2 november 2022,Canada
166,PERFECTO!!!,"5,0","es la mejor compra que pude hacer tiene muy buena calidad y tiene muchísimas funciones y juegos definitivamente algo que debes comprar sin dudarlo, lo mire por primera vez en un video de YouTube y me ",1 november 2022,de Verenigde Staten
167,Expensive and super small bluetooth speaker Z,"5,0","The quality and sound is great with this speaker, as it should be since it was so expensive for such a tiny item. Z",31 oktober 2022,de Verenigde Staten
168,Excelente gadget,"5,0",Excelente producto y entrega rápida,30 oktober 2022,de Verenigde Staten
169,Sorprende,"5,0",Para un buen regalo ideal. Un juego diferente con muchas posibilidades. Sorprende el altavoz y si excelente calidad.,29 oktober 2022,Spanje
170,Awesome !,"5,0",Good speaker quality. And it looks good ! RBG + Mechanical . Apps gives you the option to do more. And customer service is responsive.,28 oktober 2022,Australië
171,Enceinte bluetooth au style pc retro sympa !,"5,0",Petite enceinte bluetooth qui a un très bon son et qui possède une application pour créer ses fond ou en télécharger !La communauté est très grande et sympa !l'enceinte donne aussi l'heure et peut fai,26 oktober 2022,Frankrijk
172,It was ok,"3,0",The best feature I loved out of this entire Divoom was the sound quality. It was loud when at the max but also perfect at the middle. The device connected easily. It was cute to get digital pictures f,26 oktober 2022,de Verenigde Staten
173,"It does not come with a cable, but I’m still happy with it!","4,0",I love this thing so much! The quality is a LOT better than I thought it was. It’s super cute and definitely an item to buy if you’re interested in pixel art or want something cute for your desk.A big,24 oktober 2022,de Verenigde Staten
